epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,2576.02,1.41722,0.62446,1.01576,0.97953,0.98368,0.98915,0.57095,1.44453,0.54373,1.04606,0.00033175,0.00033175,0.00033175
56,2621.71,1.4159,0.62584,1.01709,0.97983,0.98505,0.98951,0.57195,1.42377,0.53958,1.0433,0.000319375,0.000319375,0.000319375
57,2668.58,1.41104,0.61773,1.01022,0.98185,0.98377,0.98913,0.57469,1.41171,0.53529,1.03942,0.000307,0.000307,0.000307
58,2714.89,1.39854,0.61959,1.0071,0.9795,0.98399,0.98854,0.57777,1.41836,0.53748,1.04099,0.000294625,0.000294625,0.000294625
59,2762.41,1.39543,0.61128,1.01103,0.97707,0.98659,0.98994,0.57884,1.41408,0.53518,1.03825,0.00028225,0.00028225,0.00028225
60,2809.1,1.39092,0.61334,1.00515,0.97733,0.98637,0.98895,0.5809,1.41412,0.53119,1.03608,0.000269875,0.000269875,0.000269875
61,2855.96,1.38969,0.61251,1.00763,0.98058,0.98267,0.99057,0.5792,1.4174,0.5343,1.03644,0.0002575,0.0002575,0.0002575
62,2902.62,1.38766,0.61328,1.00247,0.98067,0.98677,0.99011,0.57553,1.41706,0.53093,1.03711,0.000245125,0.000245125,0.000245125
63,2949.36,1.37739,0.60668,0.99968,0.98125,0.9842,0.99108,0.58379,1.40664,0.52867,1.03496,0.00023275,0.00023275,0.00023275
64,2996.28,1.36732,0.60131,1.00268,0.97864,0.98815,0.99063,0.58584,1.40021,0.52484,1.02994,0.000220375,0.000220375,0.000220375
65,3043.6,1.37238,0.60102,0.99915,0.97804,0.98849,0.99077,0.58169,1.40166,0.52537,1.03044,0.000208,0.000208,0.000208
66,3089.85,1.36328,0.59876,0.99252,0.98125,0.98308,0.99038,0.58503,1.39538,0.52322,1.0282,0.000195625,0.000195625,0.000195625
67,3136.17,1.36305,0.59928,0.99878,0.97912,0.98858,0.9908,0.58334,1.39682,0.52471,1.03079,0.00018325,0.00018325,0.00018325
68,3183.22,1.35506,0.59291,0.9918,0.9785,0.98558,0.99039,0.58569,1.38992,0.52205,1.02887,0.000170875,0.000170875,0.000170875
69,3229.72,1.33907,0.59216,0.98841,0.98289,0.98314,0.99079,0.5841,1.39278,0.52162,1.02986,0.0001585,0.0001585,0.0001585
70,3275.97,1.33151,0.58656,0.98974,0.98007,0.98626,0.99067,0.58968,1.38455,0.51936,1.02702,0.000146125,0.000146125,0.000146125
71,3323.64,1.32766,0.55088,1.02633,0.98405,0.98041,0.99072,0.5866,1.39162,0.52348,1.03163,0.00013375,0.00013375,0.00013375
72,3369.98,1.31058,0.5411,1.02087,0.98332,0.98224,0.99071,0.58613,1.39343,0.52298,1.02992,0.000121375,0.000121375,0.000121375
73,3416.73,1.30117,0.53819,1.0176,0.98032,0.98574,0.99093,0.59145,1.38824,0.52139,1.02819,0.000109,0.000109,0.000109
74,3463.78,1.29009,0.53272,1.01476,0.98396,0.98251,0.99071,0.58845,1.38758,0.51963,1.02711,9.6625e-05,9.6625e-05,9.6625e-05
75,3510.36,1.29131,0.53626,1.01268,0.98446,0.98255,0.99093,0.58766,1.38425,0.52087,1.02646,8.425e-05,8.425e-05,8.425e-05
76,3556.04,1.28398,0.53292,1.0109,0.98115,0.98461,0.99103,0.59285,1.37936,0.51835,1.02516,7.1875e-05,7.1875e-05,7.1875e-05
77,3602.49,1.27352,0.52987,1.01016,0.98162,0.98467,0.99108,0.59198,1.38093,0.51824,1.02694,5.95e-05,5.95e-05,5.95e-05
78,3649.04,1.27129,0.52966,1.00658,0.98519,0.98283,0.99112,0.59434,1.37304,0.51816,1.02398,4.7125e-05,4.7125e-05,4.7125e-05
79,3696.27,1.26226,0.52276,1.00491,0.98455,0.98359,0.99115,0.59562,1.37287,0.51747,1.02405,3.475e-05,3.475e-05,3.475e-05
80,3742.86,1.25535,0.51843,1.00357,0.98559,0.98179,0.99118,0.59339,1.37483,0.51644,1.02407,2.2375e-05,2.2375e-05,2.2375e-05
